painel,sh_hs_between_pairs1,sh_hs_between_pairs2,sh_hs_between_pairs3,sh_hs_between_pairs4,sh_hs_between_pairs5
1,43.201874,30.204521,18.454435,8.1391668,0
2,22.606194,21.833427,20.776611,19.099909,15.68386
3,22.006466,21.423903,20.646465,19.371361,16.551804
4,21.842978,21.312763,20.588396,19.417482,16.838381
5,21.724361,21.226606,20.542435,19.45878,17.047817
6,21.767036,21.259632,20.541735,19.404879,17.026718
7,22.075132,21.520645,20.741785,19.372362,16.290075
8,26.138178,23.338383,20.553087,17.33779,12.632564
9,25.318253,23.675964,21.135311,17.505344,12.365128
