year_quarter,educ,proporcao
2012_1,1,0.08850321423667709
2012_2,1,0.08998360113495603
2012_2,1,0.08998360113495603
2012_3,1,0.08982587980040743
2012_3,1,0.08982587980040743
2012_4,1,0.08828939644543511
2012_4,1,0.08828939644543511
2013_1,1,0.08684855749842155
2013_1,1,0.08684855749842155
2013_2,1,0.08865991276458589
2013_2,1,0.08865991276458589
2013_3,1,0.0891229837216152
2013_3,1,0.0891229837216152
2013_4,1,0.08782025195617495
2013_4,1,0.08782025195617495
2014_1,1,0.0873948464415489
2014_1,1,0.0873948464415489
2014_2,1,0.08760701988745921
2014_2,1,0.08760701988745921
2014_3,1,0.08713827730954186
2014_3,1,0.08713827730954186
2014_4,1,0.08699175220415752
2014_4,1,0.08699175220415752
2015_1,1,0.08534492914022636
2015_1,1,0.08534492914022636
2015_2,1,0.08393197596418168
2015_2,1,0.08393197596418168
2015_3,1,0.08234370291877147
2015_3,1,0.08234370291877147
2015_4,1,0.0807915715699126
2015_4,1,0.0807915715699126
2016_1,1,0.07753769245982643
2016_1,1,0.07753769245982643
2016_2,1,0.07789081438214523
2016_2,1,0.07789081438214523
2016_3,1,0.07474516835315667
2016_3,1,0.07474516835315667
2016_4,1,0.07324801929882863
2016_4,1,0.07324801929882863
2017_1,1,0.07185267808487211
2017_1,1,0.07185267808487211
2017_2,1,0.07207847220827691
2017_2,1,0.07207847220827691
2017_3,1,0.0705456595473077
2017_3,1,0.0705456595473077
2017_4,1,0.07032855085829365
2017_4,1,0.07032855085829365
2018_1,1,0.0682356380246482
2018_1,1,0.0682356380246482
2018_2,1,0.06866089978357974
2018_2,1,0.06866089978357974
2018_3,1,0.06637889875197499
2018_3,1,0.06637889875197499
2018_4,1,0.06615752453550036
2018_4,1,0.06615752453550036
2019_1,1,0.06501928331823331
2019_1,1,0.06501928331823331
2019_2,1,0.06526506548565021
2019_2,1,0.06526506548565021
2019_3,1,0.06494448473009803
2019_3,1,0.06494448473009803
2019_4,1,0.06378515039446311
2019_4,1,0.06378515039446311
2020_1,1,0.060086055733638226
2020_1,1,0.060086055733638226
2020_2,1,0.049025496497028656
2020_2,1,0.049025496497028656
2020_3,1,0.052237197397413816
2020_3,1,0.052237197397413816
2020_4,1,0.05233297681218625
2020_4,1,0.05233297681218625
2021_1,1,0.05145420659572147
2021_1,1,0.05145420659572147
2021_2,1,0.05292154962438717
2021_2,1,0.05292154962438717
2021_3,1,0.05503904121034419
2021_3,1,0.05503904121034419
2012_1,2,0.21987917967741058
2012_2,2,0.22444190075099188
2012_2,2,0.22444190075099188
2012_3,2,0.22813146005370152
2012_3,2,0.22813146005370152
2012_4,2,0.2300364416250144
2012_4,2,0.2300364416250144
2013_1,2,0.21785519377538543
2013_1,2,0.21785519377538543
2013_2,2,0.224701652756166
2013_2,2,0.224701652756166
2013_3,2,0.23042700299383634
2013_3,2,0.23042700299383634
2013_4,2,0.23534732116164442
2013_4,2,0.23534732116164442
2014_1,2,0.222134753113943
2014_1,2,0.222134753113943
2014_2,2,0.22894709561081553
2014_2,2,0.22894709561081553
2014_3,2,0.2301552712733265
2014_3,2,0.2301552712733265
2014_4,2,0.2306649424233111
2014_4,2,0.2306649424233111
2015_1,2,0.2155706792093894
2015_1,2,0.2155706792093894
2015_2,2,0.21854055408311712
2015_2,2,0.21854055408311712
2015_3,2,0.21441162046211557
2015_3,2,0.21441162046211557
2015_4,2,0.21238468051281806
2015_4,2,0.21238468051281806
2016_1,2,0.19399152217415486
2016_1,2,0.19399152217415486
2016_2,2,0.19393844020178042
2016_2,2,0.19393844020178042
2016_3,2,0.19050427508060194
2016_3,2,0.19050427508060194
2016_4,2,0.18869695430718542
2016_4,2,0.18869695430718542
2017_1,2,0.17776459330466501
2017_1,2,0.17776459330466501
2017_2,2,0.18036527200562524
2017_2,2,0.18036527200562524
2017_3,2,0.180197113139723
2017_3,2,0.180197113139723
2017_4,2,0.17958876662892034
2017_4,2,0.17958876662892034
2018_1,2,0.17299426144245422
2018_1,2,0.17299426144245422
2018_2,2,0.17458886214385233
2018_2,2,0.17458886214385233
2018_3,2,0.17836700323767923
2018_3,2,0.17836700323767923
2018_4,2,0.17798379985594084
2018_4,2,0.17798379985594084
2019_1,2,0.1674714996864576
2019_1,2,0.1674714996864576
2019_2,2,0.17258362899896262
2019_2,2,0.17258362899896262
2019_3,2,0.169999577027926
2019_3,2,0.169999577027926
2019_4,2,0.1730704194029653
2019_4,2,0.1730704194029653
2020_1,2,0.15718916585181855
2020_1,2,0.15718916585181855
2020_2,2,0.12806238044450874
2020_2,2,0.12806238044450874
2020_3,2,0.13507803747755046
2020_3,2,0.13507803747755046
2020_4,2,0.14019900318084985
2020_4,2,0.14019900318084985
2021_1,2,0.14151454498220145
2021_1,2,0.14151454498220145
2021_2,2,0.1436899177685996
2021_2,2,0.1436899177685996
2021_3,2,0.146593543367365
2021_3,2,0.146593543367365
2012_1,3,0.4045956162221568
2012_2,3,0.4185584601477041
2012_2,3,0.4185584601477041
2012_3,3,0.4233394300910499
2012_3,3,0.4233394300910499
2012_4,3,0.4241040014841503
2012_4,3,0.4241040014841503
2013_1,3,0.4061760485582521
2013_1,3,0.4061760485582521
2013_2,3,0.4172704238476484
2013_2,3,0.4172704238476484
2013_3,3,0.42029975271939074
2013_3,3,0.42029975271939074
2013_4,3,0.42366641380479736
2013_4,3,0.42366641380479736
2014_1,3,0.4122982345072285
2014_1,3,0.4122982345072285
2014_2,3,0.41807902129162383
2014_2,3,0.41807902129162383
2014_3,3,0.41475008982593525
