trim,educ,posicao_inicial,posicao_final,transition
2012_1,1,1,1,0.9108193181451001
2012_1,1,1,2,0.020017436417659476
2012_1,1,1,3,0.01033739016476343
2012_1,1,1,4,0.018180190186103378
2012_1,1,1,5,0.003925033522836532
2012_1,1,1,6,0.0344053062483461
2012_1,1,1,7,0
2012_1,1,1,8,0
2012_1,1,1,9,0.001223541053532614
2012_1,1,1,10,0.001091784261658336
2012_1,1,2,1,0.3639516896107594
2012_1,1,2,2,0.29931014178829507
2012_1,1,2,3,0.10777257815982434
2012_1,1,2,4,0.12293169708940598
2012_1,1,2,5,0.00396575223266245
2012_1,1,2,6,0.08959027333633152
2012_1,1,2,7,0
2012_1,1,2,8,0
2012_1,1,2,9,0.0062022167985057945
2012_1,1,2,10,0.006275650984215484
2012_1,1,3,1,0.043202665289263746
2012_1,1,3,2,0.023774827936413723
2012_1,1,3,3,0.8444591003000388
2012_1,1,3,4,0.04728483169205861
2012_1,1,3,5,0.008477705083281653
2012_1,1,3,6,0.023729444761739917
2012_1,1,3,7,0
2012_1,1,3,8,0
2012_1,1,3,9,0.006957804788018376
2012_1,1,3,10,0.0021136201491852
2012_1,1,4,1,0.12052903075928312
2012_1,1,4,2,0.056341496924111126
2012_1,1,4,3,0.11089658419624972
2012_1,1,4,4,0.5592881640203107
2012_1,1,4,5,0.011807243069053827
2012_1,1,4,6,0.13380010427746633
2012_1,1,4,7,0
2012_1,1,4,8,0
2012_1,1,4,9,0.001596772123411626
2012_1,1,4,10,0.005740604630113574
2012_1,1,5,1,0.07199492544260558
2012_1,1,5,2,0.008826741198565215
2012_1,1,5,3,0.032823748450158674
2012_1,1,5,4,0.04420895778397127
2012_1,1,5,5,0.5581866503352175
2012_1,1,5,6,0.28281548763644704
2012_1,1,5,7,0
2012_1,1,5,8,0
2012_1,1,5,9,6.697835036777315e-4
2012_1,1,5,10,4.737056493569944e-4
2012_1,1,6,1,0.14287100024101068
2012_1,1,6,2,0.023985133699161765
2012_1,1,6,3,0.026967134236057372
2012_1,1,6,4,0.08460259132371352
2012_1,1,6,5,0.05218930155818784
2012_1,1,6,6,0.6654762655541079
2012_1,1,6,7,0
2012_1,1,6,8,0
2012_1,1,6,9,8.332369672481199e-4
2012_1,1,6,10,0.0030753364205128573
2012_1,1,7,1,NA
2012_1,1,7,2,NA
2012_1,1,7,3,NA
2012_1,1,7,4,NA
2012_1,1,7,5,NA
2012_1,1,7,6,NA
2012_1,1,7,7,NA
2012_1,1,7,8,NA
2012_1,1,7,9,NA
2012_1,1,7,10,NA
2012_1,1,8,1,NA
2012_1,1,8,2,NA
2012_1,1,8,3,NA
2012_1,1,8,4,NA
2012_1,1,8,5,NA
2012_1,1,8,6,NA
2012_1,1,8,7,NA
2012_1,1,8,8,NA
2012_1,1,8,9,NA
2012_1,1,8,10,NA
2012_1,1,9,1,0.02957522980130839
2012_1,1,9,2,0.0037011096785736198
2012_1,1,9,3,0.08131657231518338
2012_1,1,9,4,0.01072925059093954
2012_1,1,9,5,0.0014944722248389857
2012_1,1,9,6,0.014785919944505826
2012_1,1,9,7,0
2012_1,1,9,8,0
2012_1,1,9,9,0.7960648264916392
2012_1,1,9,10,0.062332618953011044
2012_1,1,10,1,0.05334173912360701
2012_1,1,10,2,0.02563195235776098
2012_1,1,10,3,0.039644608961088026
2012_1,1,10,4,0.07980224334475759
2012_1,1,10,5,0.009897844515760224
2012_1,1,10,6,0.05232755442409614
2012_1,1,10,7,0
2012_1,1,10,8,0
2012_1,1,10,9,0.14450303189500605
2012_1,1,10,10,0.594851025377924
2012_2,1,1,1,0.9258459263885025
2012_2,1,1,2,0.018620013416123713
2012_2,1,1,3,0.007313028218647792
2012_2,1,1,4,0.01648071754161568
2012_2,1,1,5,0.0027919687882494103
2012_2,1,1,6,0.027187542939840145
2012_2,1,1,7,0
2012_2,1,1,8,0
2012_2,1,1,9,0.0010858636365410363
2012_2,1,1,10,6.749390704797111e-4
2012_2,1,2,1,0.3313580399841789
2012_2,1,2,2,0.3255050505975432
2012_2,1,2,3,0.09282469967338676
2012_2,1,2,4,0.13704833392430393
2012_2,1,2,5,0.005960557638079037
2012_2,1,2,6,0.10241151599835686
2012_2,1,2,7,0
2012_2,1,2,8,0
2012_2,1,2,9,0.0025676520656964896
2012_2,1,2,10,0.002324150118454809
2012_2,1,3,1,0.038709428268830996
2012_2,1,3,2,0.021284029262755192
2012_2,1,3,3,0.8607204645445777
2012_2,1,3,4,0.04385584840816364
2012_2,1,3,5,0.005852206349629431
2012_2,1,3,6,0.02102228908694911
2012_2,1,3,7,0
2012_2,1,3,8,0
2012_2,1,3,9,0.006818374582448617
2012_2,1,3,10,0.0017373594966452685
2012_2,1,4,1,0.11653596989828831
2012_2,1,4,2,0.04797209046633495
2012_2,1,4,3,0.11875257594237204
2012_2,1,4,4,0.5663353304750632
2012_2,1,4,5,0.018359078028173284
2012_2,1,4,6,0.12358212673816138
2012_2,1,4,7,0
2012_2,1,4,8,0
2012_2,1,4,9,0.0023022454087965063
2012_2,1,4,10,0.006160583042810287
2012_2,1,5,1,0.06074992432900859
2012_2,1,5,2,0.008135491854299742
2012_2,1,5,3,0.02805494105106212
2012_2,1,5,4,0.04679181856168592
2012_2,1,5,5,0.6095618318082839
2012_2,1,5,6,0.24348851982913958
2012_2,1,5,7,0
2012_2,1,5,8,0
2012_2,1,5,9,9.729243012132548e-4
2012_2,1,5,10,0.0022445482653068944
2012_2,1,6,1,0.12879421458571558
2012_2,1,6,2,0.01934552353087507
2012_2,1,6,3,0.026762493933415118
2012_2,1,6,4,0.07887362263175894
2012_2,1,6,5,0.051115698480789125
2012_2,1,6,6,0.690180317112478
2012_2,1,6,7,0
2012_2,1,6,8,0
2012_2,1,6,9,0.0019508508279720111
2012_2,1,6,10,0.0029772788969962306
2012_2,1,7,1,NA
2012_2,1,7,2,NA
2012_2,1,7,3,NA
2012_2,1,7,4,NA
2012_2,1,7,5,NA
2012_2,1,7,6,NA
2012_2,1,7,7,NA
2012_2,1,7,8,NA
2012_2,1,7,9,NA
2012_2,1,7,10,NA
2012_2,1,8,1,NA
2012_2,1,8,2,NA
2012_2,1,8,3,NA
2012_2,1,8,4,NA
2012_2,1,8,5,NA
2012_2,1,8,6,NA
2012_2,1,8,7,NA
2012_2,1,8,8,NA
2012_2,1,8,9,NA
2012_2,1,8,10,NA
2012_2,1,9,1,0.023339304395709283
2012_2,1,9,2,0.0025005325592893568
2012_2,1,9,3,0.06944975452052725
2012_2,1,9,4,0.009351161069069743
2012_2,1,9,5,0.002974162869168946
2012_2,1,9,6,0.010256351115795726
2012_2,1,9,7,0
2012_2,1,9,8,0
2012_2,1,9,9,0.8192631102586331
2012_2,1,9,10,0.06286562321180657
2012_2,1,10,1,0.05574746994887953
2012_2,1,10,2,0.020350202055479834
2012_2,1,10,3,0.02342596609971253
2012_2,1,10,4,0.047857748400268504
2012_2,1,10,5,0.011823770859918974
2012_2,1,10,6,0.06120591629922599
2012_2,1,10,7,0
2012_2,1,10,8,0
2012_2,1,10,9,0.15144887656131814
2012_2,1,10,10,0.6281400497751964
2012_3,1,1,1,0.9247099483490215
2012_3,1,1,2,0.01919620344698017
2012_3,1,1,3,0.007683489291264452
2012_3,1,1,4,0.015867949025915627
2012_3,1,1,5,0.0029045604393686535
2012_3,1,1,6,0.02844906394726473
2012_3,1,1,7,0
2012_3,1,1,8,0
2012_3,1,1,9,7.349029451694783e-4
2012_3,1,1,10,4.538825550153074e-4
2012_3,1,2,1,0.3231808276520177
2012_3,1,2,2,0.35008121981573737
2012_3,1,2,3,0.1021875059316432
2012_3,1,2,4,0.12291187928064026
2012_3,1,2,5,0.005056688809609312
2012_3,1,2,6,0.09105992645940543
2012_3,1,2,7,0
2012_3,1,2,8,0
2012_3,1,2,9,0.0024071754997606097
2012_3,1,2,10,0.003114776551186081
2012_3,1,3,1,0.041109311774864946
2012_3,1,3,2,0.02570157961811087
2012_3,1,3,3,0.8505601808565244
2012_3,1,3,4,0.0459634105298552
2012_3,1,3,5,0.00555454264289832
2012_3,1,3,6,0.023158793470333415
2012_3,1,3,7,0
2012_3,1,3,8,0
2012_3,1,3,9,0.006991756500466973
2012_3,1,3,10,9.604246069458904e-4
2012_3,1,4,1,0.11835130234475974
2012_3,1,4,2,0.0472407940115209
2012_3,1,4,3,0.10594629647955918
2012_3,1,4,4,0.5787972623471768
2012_3,1,4,5,0.013581743496483452
2012_3,1,4,6,0.1293128641260589
2012_3,1,4,7,0
2012_3,1,4,8,0
2012_3,1,4,9,0.002469166040427484
2012_3,1,4,10,0.004300571154013548
2012_3,1,5,1,0.058069141015317974
2012_3,1,5,2,0.00914793409286033
2012_3,1,5,3,0.02560731124821199
2012_3,1,5,4,0.050818884557003736
