trim,educ,posicao_inicial,posicao_final,transition
2012_1,1,1,1,0.8207969790092712
2012_1,1,1,2,0.11403873133124535
2012_1,1,1,3,0.06516428965948347
2012_1,1,2,1,0.09203550474494977
2012_1,1,2,2,0.7411650846742759
2012_1,1,2,3,0.16679941058077433
2012_1,1,3,1,0.01701843889637358
2012_1,1,3,2,0.059671565469935454
2012_1,1,3,3,0.923309995633691
2012_2,1,1,1,0.8412491230929657
2012_2,1,1,2,0.10064973810368306
2012_2,1,1,3,0.05810113880335121
2012_2,1,2,1,0.0953580501982073
2012_2,1,2,2,0.7546547610589607
2012_2,1,2,3,0.14998718874283204
2012_2,1,3,1,0.013181039166154828
2012_2,1,3,2,0.052216147204993575
2012_2,1,3,3,0.9346028136288516
2012_3,1,1,1,0.8341375818528067
2012_3,1,1,2,0.1036196238161918
2012_3,1,1,3,0.06224279433100148
2012_3,1,2,1,0.08598406214488757
2012_3,1,2,2,0.7682762449359843
2012_3,1,2,3,0.14573969291912814
2012_3,1,3,1,0.013014501203882822
2012_3,1,3,2,0.05166845519114001
2012_3,1,3,3,0.9353170436049771
2012_4,1,1,1,0.8263168994220913
2012_4,1,1,2,0.10760528988165877
2012_4,1,1,3,0.0660778106962499
2012_4,1,2,1,0.08737448400964513
2012_4,1,2,2,0.7507401471227904
2012_4,1,2,3,0.1618853688675645
2012_4,1,3,1,0.012168968392902721
2012_4,1,3,2,0.049807103444032164
2012_4,1,3,3,0.9380239281630651
2013_1,1,1,1,0.8261298763008854
2013_1,1,1,2,0.11125253072014152
2013_1,1,1,3,0.06261759297897306
2013_1,1,2,1,0.09885208036201436
2013_1,1,2,2,0.7473270996235334
2013_1,1,2,3,0.15382082001445227
2013_1,1,3,1,0.01568927013415806
2013_1,1,3,2,0.057926225879892844
2013_1,1,3,3,0.9263845039859491
2013_2,1,1,1,0.8267794233496049
2013_2,1,1,2,0.11794684171787181
2013_2,1,1,3,0.05527373493252331
2013_2,1,2,1,0.10352633148619007
2013_2,1,2,2,0.7351095643987965
2013_2,1,2,3,0.16136410411501342
2013_2,1,3,1,0.014550627654129948
2013_2,1,3,2,0.05511695902401382
2013_2,1,3,3,0.9303324133218562
2013_3,1,1,1,0.8258950415677331
2013_3,1,1,2,0.1164456021103271
2013_3,1,1,3,0.05765935632193983
2013_3,1,2,1,0.09973254839761901
2013_3,1,2,2,0.7530556166165023
2013_3,1,2,3,0.1472118349858787
2013_3,1,3,1,0.012762103044596509
2013_3,1,3,2,0.054720173305778705
2013_3,1,3,3,0.9325177236496248
2013_4,1,1,1,0.8180284344673572
2013_4,1,1,2,0.11497167782981653
2013_4,1,1,3,0.06699988770282625
2013_4,1,2,1,0.09842488650119782
2013_4,1,2,2,0.7364625461851791
2013_4,1,2,3,0.165112567313623
2013_4,1,3,1,0.012637869307448509
2013_4,1,3,2,0.05066039345901938
2013_4,1,3,3,0.9367017372335321
2014_1,1,1,1,0.82075905931981
2014_1,1,1,2,0.11353422575097416
2014_1,1,1,3,0.06570671492921586
2014_1,1,2,1,0.10101584323138096
2014_1,1,2,2,0.7468895411639166
2014_1,1,2,3,0.15209461560470242
2014_1,1,3,1,0.014442389650311239
2014_1,1,3,2,0.05361856530905173
2014_1,1,3,3,0.9319390450406371
2014_2,1,1,1,0.8279412541927472
2014_2,1,1,2,0.11138461040934423
2014_2,1,1,3,0.06067413539790855
2014_2,1,2,1,0.1008240158531487
2014_2,1,2,2,0.7512057366200168
2014_2,1,2,3,0.1479702475268345
2014_2,1,3,1,0.013363481921754475
2014_2,1,3,2,0.04967275789125276
2014_2,1,3,3,0.9369637601869928
2014_3,1,1,1,0.8323755894888999
2014_3,1,1,2,0.10681073614444557
2014_3,1,1,3,0.06081367436665456
2014_3,1,2,1,0.10092023469853635
2014_3,1,2,2,0.7526576653392721
2014_3,1,2,3,0.14642209996219155
