"","year_quarter","educ","proporcao"
"218","2020_2",3,0.0680438750583722
"219","2020_2",3,0.0736897207105914
"220","2020_3",3,0.0742430420608094
"221","2020_3",3,0.0812645429981311
"222","2020_4",3,0.0854896055476361
"223","2020_4",3,0.0863662525109528
"224","2021_1",3,0.0846633742076995
"225","2021_1",3,0.0892757369187419
"226","2021_2",3,0.0914406369559231
"227","2021_2",3,0.097415857787258
"228","2021_3",3,0.0943148643180024
"229","2012_1",4,0.0433489449298675
"230","2012_2",4,0.0445254900384301
"231","2012_2",4,0.0461556941336312
"232","2012_3",4,0.0481834720100994
"233","2012_3",4,0.0482802514089473
"234","2012_4",4,0.0470096333363071
"235","2012_4",4,0.0445012417070642
"236","2013_1",4,0.0437706288430748
"237","2013_1",4,0.0410895258568863
"238","2013_2",4,0.0448847200950696
"239","2013_2",4,0.0477259038270662
"240","2013_3",4,0.0453876824654113
"241","2013_3",4,0.0464155840562417
"242","2013_4",4,0.0483290816035802
"243","2013_4",4,0.0470668226178874
"244","2014_1",4,0.0444370358696536
"245","2014_1",4,0.0440656403135428
"246","2014_2",4,0.0412984371835376
"247","2014_2",4,0.0419439440303411
"248","2014_3",4,0.0446433868504309
"249","2014_3",4,0.0429558823533072
"250","2014_4",4,0.0417168090597826
"251","2014_4",4,0.0454004522508734
"252","2015_1",4,0.0437500014087439
"253","2015_1",4,0.0415044319506468
"254","2015_2",4,0.0413207415673676
"255","2015_2",4,0.0421418783556688
"256","2015_3",4,0.0446624642687714
"257","2015_3",4,0.0470892277520232
"258","2015_4",4,0.0423241886061111
"259","2015_4",4,0.0455924708538829
"260","2016_1",4,0.0434297971391923
"261","2016_1",4,0.0467273374076078
"262","2016_2",4,0.0461316327812719
"263","2016_2",4,0.044999928469204
"264","2016_3",4,0.0468960246835525
"265","2016_3",4,0.0440801696892672
"266","2016_4",4,0.045387333431322
"267","2016_4",4,0.0445326524810357
"268","2017_1",4,0.0448830731827238
"269","2017_1",4,0.0449399868175962
"270","2017_2",4,0.0482066432294533
"271","2017_2",4,0.051489652440032
"272","2017_3",4,0.0524591027635175
"273","2017_3",4,0.054971729096064
"274","2017_4",4,0.0538913617734963
"275","2017_4",4,0.0533537327264196
"276","2018_1",4,0.0546266327614163
"277","2018_1",4,0.0564200445099239
"278","2018_2",4,0.0550421871890701
"279","2018_2",4,0.0570091941699606
"280","2018_3",4,0.0579812599853022
"281","2018_3",4,0.0602945723928261
"282","2018_4",4,0.0591340154153389
"283","2018_4",4,0.0599212544439568
"284","2019_1",4,0.0588109440353396
"285","2019_1",4,0.0590709475941802
"286","2019_2",4,0.0608224821098706
"287","2019_2",4,0.0617819869350101
"288","2019_3",4,0.0628262338887877
"289","2019_3",4,0.0628899453776488
"290","2019_4",4,0.0598576335637192
"291","2019_4",4,0.062278781832747
"292","2020_1",4,0.0632575383264588
"293","2020_1",4,0.0598436183398169
"294","2020_2",4,0.0478787489419086
"295","2020_2",4,0.0495510823292725
"296","2020_3",4,0.0542514881560825
"297","2020_3",4,0.0561778600629371
"298","2020_4",4,0.058736721812283
"299","2020_4",4,0.0616721400839891
"300","2021_1",4,0.0604754362795908
"301","2021_1",4,0.0614665820648295
"302","2021_2",4,0.0641221435025347
"303","2021_2",4,0.06391844582186
"304","2021_3",4,0.0618122818204841
