year_quarter,educ,proporcao
2012_1,1,0.050151503541588136
2012_2,1,0.05160123248780898
2012_2,1,0.05160123248780898
2012_3,1,0.052308114018143385
2012_3,1,0.052308114018143385
2012_4,1,0.05141972570128044
2012_4,1,0.05141972570128044
2013_1,1,0.04960421423320623
2013_1,1,0.04960421423320623
2013_2,1,0.05036120600728983
2013_2,1,0.05036120600728983
2013_3,1,0.05024069174903953
2013_3,1,0.05024069174903953
2013_4,1,0.04887261625804611
2013_4,1,0.04887261625804611
2014_1,1,0.047795825975464286
2014_1,1,0.047795825975464286
2014_2,1,0.04722395528603109
2014_2,1,0.04722395528603109
2014_3,1,0.0470791081685269
2014_3,1,0.0470791081685269
2014_4,1,0.04784525948119982
2014_4,1,0.04784525948119982
2015_1,1,0.045810074335549504
2015_1,1,0.045810074335549504
2015_2,1,0.0457184804205092
2015_2,1,0.0457184804205092
2015_3,1,0.04497621620990264
2015_3,1,0.04497621620990264
2015_4,1,0.04371924121895521
2015_4,1,0.04371924121895521
2016_1,1,0.04216766062578925
2016_1,1,0.04216766062578925
2016_2,1,0.043916498539885315
2016_2,1,0.043916498539885315
2016_3,1,0.04360458863086376
2016_3,1,0.04360458863086376
2016_4,1,0.04303424616716388
2016_4,1,0.04303424616716388
2017_1,1,0.04064351211384607
2017_1,1,0.04064351211384607
2017_2,1,0.04199123393530083
2017_2,1,0.04199123393530083
2017_3,1,0.04325978029206048
2017_3,1,0.04325978029206048
2017_4,1,0.044057171360381904
2017_4,1,0.044057171360381904
2018_1,1,0.04216882776627933
2018_1,1,0.04216882776627933
2018_2,1,0.04351767319138971
2018_2,1,0.04351767319138971
2018_3,1,0.0449040757402034
2018_3,1,0.0449040757402034
2018_4,1,0.04269161096403688
2018_4,1,0.04269161096403688
2019_1,1,0.0414139884442751
2019_1,1,0.0414139884442751
2019_2,1,0.04280886540747908
2019_2,1,0.04280886540747908
2019_3,1,0.04375689349740985
2019_3,1,0.04375689349740985
2019_4,1,0.04319612183858805
2019_4,1,0.04319612183858805
2020_1,1,0.03880020793013792
2020_1,1,0.03880020793013792
2020_2,1,0.028399119411461973
2020_2,1,0.028399119411461973
2020_3,1,0.03224702937369774
2020_3,1,0.03224702937369774
2020_4,1,0.03540255566814974
2020_4,1,0.03540255566814974
2021_1,1,0.03393188920591563
2021_1,1,0.03393188920591563
2021_2,1,0.034395031369878905
2021_2,1,0.034395031369878905
2021_3,1,0.03883488579420159
2021_3,1,0.03883488579420159
2012_1,2,0.08716856594461536
2012_2,2,0.08895593623147861
2012_2,2,0.08895593623147861
2012_3,2,0.09269262819468557
2012_3,2,0.09269262819468557
2012_4,2,0.08937394170777731
2012_4,2,0.08937394170777731
2013_1,2,0.08186701239511203
2013_1,2,0.08186701239511203
2013_2,2,0.08532953685033778
2013_2,2,0.08532953685033778
2013_3,2,0.08852206610446542
2013_3,2,0.08852206610446542
2013_4,2,0.08883911552885117
2013_4,2,0.08883911552885117
2014_1,2,0.08156389500738438
2014_1,2,0.08156389500738438
2014_2,2,0.0820351502609416
2014_2,2,0.0820351502609416
2014_3,2,0.08275512152902682
2014_3,2,0.08275512152902682
2014_4,2,0.08369300857281939
2014_4,2,0.08369300857281939
2015_1,2,0.07705797652847138
2015_1,2,0.07705797652847138
2015_2,2,0.07972203807120049
2015_2,2,0.07972203807120049
2015_3,2,0.08105741954497535
2015_3,2,0.08105741954497535
2015_4,2,0.07878075534545434
2015_4,2,0.07878075534545434
2016_1,2,0.07178285209064814
2016_1,2,0.07178285209064814
2016_2,2,0.07522258503703479
2016_2,2,0.07522258503703479
2016_3,2,0.074634855449763
2016_3,2,0.074634855449763
2016_4,2,0.07629022960740804
2016_4,2,0.07629022960740804
2017_1,2,0.07013549290310114
2017_1,2,0.07013549290310114
2017_2,2,0.0771173300475247
2017_2,2,0.0771173300475247
2017_3,2,0.08089228907762837
2017_3,2,0.08089228907762837
2017_4,2,0.08294545767046999
2017_4,2,0.08294545767046999
2018_1,2,0.07535062282703733
2018_1,2,0.07535062282703733
2018_2,2,0.07835401415356974
2018_2,2,0.07835401415356974
2018_3,2,0.08132737064845796
2018_3,2,0.08132737064845796
2018_4,2,0.08437972873397159
2018_4,2,0.08437972873397159
2019_1,2,0.07800973782627309
2019_1,2,0.07800973782627309
2019_2,2,0.081883532170256
2019_2,2,0.081883532170256
2019_3,2,0.08228782127433619
2019_3,2,0.08228782127433619
2019_4,2,0.08605886262625317
2019_4,2,0.08605886262625317
2020_1,2,0.07344876358210052
2020_1,2,0.07344876358210052
2020_2,2,0.050287985893976275
2020_2,2,0.050287985893976275
2020_3,2,0.06096951606316214
2020_3,2,0.06096951606316214
2020_4,2,0.06679120396506799
2020_4,2,0.06679120396506799
2021_1,2,0.05800919058901684
2021_1,2,0.05800919058901684
2021_2,2,0.06520115551397335
2021_2,2,0.06520115551397335
2021_3,2,0.07684750876955837
2021_3,2,0.07684750876955837
2012_1,3,0.086224611683711
2012_2,3,0.08995975693712799
2012_2,3,0.08995975693712799
2012_3,3,0.08954854420781243
2012_3,3,0.08954854420781243
2012_4,3,0.08690616544985574
2012_4,3,0.08690616544985574
2013_1,3,0.08417236619031913
2013_1,3,0.08417236619031913
2013_2,3,0.08891418353170687
2013_2,3,0.08891418353170687
2013_3,3,0.08745476509055362
2013_3,3,0.08745476509055362
2013_4,3,0.08594403054836439
2013_4,3,0.08594403054836439
2014_1,3,0.08015109178707226
2014_1,3,0.08015109178707226
2014_2,3,0.08263593790603843
2014_2,3,0.08263593790603843
2014_3,3,0.08260052911517671
